,<95,<99,99+
gb,55.87188612099644,100.0,100.0
gb_ipw,100.0,100.0,100.0
wrangler_23,100.0,100.0,100.0
wrangler_16,100.0,100.0,100.0
gb_23,100.0,100.0,100.0
gb_16,65.48042704626334,51.1520737327189,43.10344827586207
