,Correlation,Causal,Wrangler_23,Wrangler_16,GB_23,GB_16
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,6.896551724137931,6.896551724137931,0.0,0.0,0.0,0.0
12,10.0,10.0,0.0,0.0,0.0,0.0
13,15.625,15.625,0.0,0.0,0.0,0.0
14,18.181818181818183,18.181818181818183,0.0,0.0,0.0,0.0
15,22.857142857142858,22.857142857142858,0.0,0.0,0.0,0.0
16,32.5,32.5,0.0,0.0,0.0,0.0
17,34.146341463414636,34.146341463414636,0.0,0.0,0.0,0.0
18,41.30434782608695,41.30434782608695,0.0,0.0,0.0,0.0
19,42.5531914893617,42.5531914893617,0.0,0.0,0.0,0.0
20,43.75,43.75,0.0,0.0,0.0,0.0
21,46.0,46.0,0.0,0.0,0.0,0.0
22,50.0,50.0,0.0,0.0,0.0,0.0
23,52.63157894736842,52.63157894736842,0.0,0.0,0.0,0.0
24,54.23728813559322,54.23728813559322,0.0,0.0,0.0,0.0
25,55.73770491803278,55.73770491803278,0.0,0.0,0.0,0.0
26,57.8125,57.8125,0.0,0.0,0.0,0.0
27,60.86956521739131,60.86956521739131,0.0,0.0,0.0,0.0
28,64.0,64.0,0.0,0.0,0.0,0.0
29,64.93506493506493,64.93506493506493,0.0,0.0,0.0,0.0
30,66.66666666666666,66.66666666666666,0.0,0.0,0.0,0.0
31,68.23529411764706,68.23529411764706,0.0,0.0,0.0,0.0
32,69.31818181818183,69.31818181818183,0.0,0.0,0.0,0.0
33,70.65217391304348,70.65217391304348,0.0,0.0,0.0,0.0
34,71.57894736842105,71.57894736842105,0.0,0.0,0.0,0.0
35,72.16494845360825,72.16494845360825,0.0,0.0,0.0,0.0
36,73.0,73.0,0.0,0.0,0.0,0.0
37,73.7864077669903,73.7864077669903,0.0,0.0,0.0,0.0
38,74.28571428571429,74.28571428571429,0.0,0.0,0.0,0.0
39,76.10619469026548,76.10619469026548,0.0,0.0,0.0,0.0
40,76.92307692307693,76.92307692307693,0.0,0.0,0.0,0.0
41,78.04878048780488,78.04878048780488,0.0,0.0,0.0,0.0
42,79.38931297709924,79.38931297709924,0.0,0.0,0.0,0.0
43,79.8507462686567,79.8507462686567,0.0,0.0,0.0,0.0
44,80.2919708029197,80.2919708029197,0.0,0.0,0.0,0.0
45,80.85106382978722,80.85106382978722,0.0,0.0,0.0,0.0
46,80.98591549295774,80.98591549295774,0.0,0.0,0.0,0.0
47,81.25,81.25,0.0,0.0,0.0,0.0
48,81.5068493150685,81.5068493150685,0.0,0.0,0.0,0.0
49,82.35294117647058,82.35294117647058,0.0,0.0,0.0,0.0
50,82.6923076923077,82.6923076923077,0.0,0.0,0.0,0.0
51,83.125,83.125,0.0,0.0,0.0,0.0
52,83.53658536585365,83.53658536585365,0.0,0.0,0.0,0.0
53,83.8323353293413,83.8323353293413,0.0,0.0,0.0,0.0
54,83.92857142857143,83.92857142857143,0.0,0.0,0.0,0.0
55,84.21052631578947,84.21052631578947,0.0,0.0,0.0,0.0
56,84.48275862068965,84.48275862068965,0.0,0.0,0.0,0.0
57,84.6590909090909,84.6590909090909,0.0,0.0,0.0,0.0
58,84.91620111731844,84.91620111731844,0.0,0.0,0.0,0.0
59,85.0,85.0,0.0,0.0,0.0,0.0
60,85.0828729281768,85.0828729281768,0.0,0.0,0.0,0.0
61,85.16483516483517,85.16483516483517,0.0,0.0,0.0,0.0
62,85.24590163934425,85.24590163934425,0.0,0.0,0.0,0.0
63,85.4054054054054,85.4054054054054,0.0,0.0,0.0,0.0
64,85.48387096774194,85.48387096774194,0.0,0.0,0.0,0.0
65,85.71428571428571,85.71428571428571,0.0,0.0,0.0,0.0
66,85.86387434554975,85.86387434554975,0.0,0.0,0.0,0.0
67,86.08247422680412,86.08247422680412,0.0,0.0,0.0,0.0
68,86.22448979591837,86.22448979591837,0.0,0.0,0.0,0.0
69,86.29441624365482,86.29441624365482,0.0,0.0,0.0,0.0
70,86.36363636363636,86.36363636363636,0.0,0.0,0.0,0.0
71,86.56716417910447,86.56716417910447,0.0,0.0,0.0,0.0
72,86.76470588235294,86.76470588235294,0.0,0.0,0.0,0.0
73,87.01923076923077,87.01923076923077,0.0,0.0,0.0,0.0
74,87.20379146919431,87.20379146919431,0.0,0.0,0.0,0.0
75,87.32394366197182,87.32394366197182,0.0,0.0,0.0,0.0
76,87.5,87.5,0.0,0.0,0.0,0.0
77,87.55760368663594,87.55760368663594,0.0,0.0,0.0,0.0
78,87.61467889908256,87.61467889908256,0.0,0.0,0.0,0.0
79,87.78280542986425,87.78280542986425,0.0,0.0,0.0,0.0
80,87.83783783783784,87.83783783783784,0.0,0.0,0.0,0.0
81,87.94642857142857,87.94642857142857,0.0,0.0,0.0,0.0
82,88.05309734513274,88.05309734513274,0.0,0.0,0.0,0.0
83,88.1578947368421,88.1578947368421,0.0,0.0,0.0,0.0
84,88.26086956521739,88.26086956521739,0.0,0.0,0.0,0.0
85,88.31168831168831,88.31168831168831,0.0,0.0,0.0,0.0
