,Correlation,Causal,Wrangler_23,Wrangler_16,GB_23,GB_16
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,81.81818181818183,0.0,0.0,0.0,0.0
3,0.0,81.25,0.0,0.0,0.0,0.0
4,0.0,82.0,0.0,0.0,0.0,0.0
5,0.0,87.5,0.0,0.0,0.0,0.0
6,0.0,88.75,0.0,0.0,0.0,0.0
7,0.0,90.21739130434783,0.0,0.0,0.0,0.0
8,0.0,90.52631578947368,0.0,0.0,0.0,0.0
9,0.0,90.72164948453609,0.0,0.0,0.0,0.0
10,0.0,88.11881188118812,0.0,0.0,0.0,0.0
11,0.0,86.40776699029125,0.0,0.0,0.0,0.0
12,0.0,85.57692307692307,0.0,0.0,0.0,0.0
13,0.0,84.76190476190476,0.0,0.0,0.0,0.0
14,0.0,83.9622641509434,0.0,0.0,0.0,0.0
15,0.0,83.17757009345794,0.0,0.0,0.0,0.0
