,Correlation,Causal,Wrangler_23,Wrangler_16,GB_23,GB_16
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,92.3076923076923,0.0,92.3076923076923,88.46153846153845
2,0.0,0.0,100.0,0.0,100.0,92.3076923076923
3,0.0,0.0,100.0,46.15384615384615,100.0,92.3076923076923
4,0.0,0.0,100.0,96.15384615384616,100.0,92.3076923076923
5,0.0,0.0,100.0,96.15384615384616,100.0,92.3076923076923
6,0.0,100.0,100.0,96.15384615384616,100.0,92.3076923076923
7,100.0,100.0,100.0,100.0,100.0,92.3076923076923
8,100.0,100.0,100.0,100.0,100.0,92.3076923076923
9,100.0,100.0,100.0,100.0,100.0,92.3076923076923
10,100.0,100.0,100.0,100.0,100.0,92.3076923076923
11,100.0,100.0,100.0,100.0,100.0,100.0
