,TPR,FPR
gb,0.0,0.0
gb_ipw,77.77777777777777,88.73239436619718
wrangler_23,0.0,0.0
wrangler_16,5.555555555555555,0.0
gb_23,0.0,0.0
gb_16,100.0,0.0
