,<95,<99,99+
gb,0.0,0.0,0.0
gb_ipw,0.0,0.0,0.0
wrangler_23,100.0,100.0,100.0
wrangler_16,70.0,68.75,25.0
gb_23,20.0,18.75,0.0
gb_16,0.0,0.0,0.0
