,Correlation,Causal,Wrangler_23,Wrangler_16,GB_23,GB_16
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,28.205128205128204,0.0,0.0,0.0
2,0.0,0.0,97.43589743589743,30.76923076923077,0.0,0.0
3,0.0,0.0,97.43589743589743,33.33333333333333,0.0,0.0
4,0.0,100.0,97.43589743589743,33.33333333333333,0.0,0.0
5,0.0,100.0,97.43589743589743,33.33333333333333,0.0,0.0
6,0.0,100.0,97.43589743589743,33.33333333333333,0.0,0.0
7,0.0,100.0,100.0,33.33333333333333,0.0,0.0
8,0.0,100.0,100.0,33.33333333333333,0.0,0.0
9,0.0,100.0,100.0,33.33333333333333,0.0,0.0
10,100.0,100.0,100.0,100.0,100.0,100.0
