,<95,<99,99+
ridge,0.0,0.0,0.0
svm,0.0,0.0,0.0
nn,0.0,0.0,0.0
rf,0.0,0.0,0.0
gb,0.0,0.0,0.0
ridge_ipw,0.0,0.0,0.0
svm_ipw,100.0,85.0,50.0
nn_ipw,0.0,0.0,0.0
rf_ipw,0.0,0.0,0.0
gb_ipw,100.0,100.0,100.0
