,<95,<99,99+
ridge,0.0,0.0,0.0
svm,0.0,0.0,0.0
nn,10.0,0.0,0.0
rf,0.0,0.0,0.0
gb,0.0,0.0,0.0
ridge_ipw,70.0,25.0,75.0
svm_ipw,100.0,100.0,100.0
nn_ipw,90.0,75.0,100.0
rf_ipw,100.0,100.0,100.0
gb_ipw,100.0,75.0,100.0
