,<95,<99,99+
ridge,0.0,0.0,0.0
svm,29.41176470588235,100.0,100.0
nn,100.0,100.0,100.0
rf,5.882352941176471,0.0,0.0
gb,0.0,0.0,0.0
ridge_ipw,29.41176470588235,28.571428571428573,0.0
svm_ipw,29.41176470588235,100.0,100.0
nn_ipw,100.0,100.0,100.0
rf_ipw,5.882352941176471,0.0,0.0
gb_ipw,5.882352941176471,0.0,0.0
