,<95,<99,99+
ridge,100.0,91.66666666666667,66.66666666666667
svm,0.0,0.0,0.0
nn,100.0,100.0,100.0
rf,100.0,100.0,100.0
gb,0.0,0.0,0.0
ridge_ipw,100.0,100.0,100.0
svm_ipw,100.0,100.0,100.0
nn_ipw,100.0,100.0,100.0
rf_ipw,100.0,100.0,100.0
gb_ipw,100.0,100.0,100.0
