,<95,<99,99+
ridge,0.0,0.0,0.0
svm,24.0,41.46341463414634,20.0
nn,16.0,29.26829268292683,20.0
rf,88.0,87.8048780487805,60.0
gb,88.0,87.8048780487805,60.0
ridge_ipw,0.0,0.0,0.0
svm_ipw,100.0,97.5609756097561,60.0
nn_ipw,80.0,78.04878048780488,50.0
rf_ipw,90.0,87.8048780487805,60.0
gb_ipw,90.0,87.8048780487805,60.0
