,Correlation,Causal,Wrangler_23,Wrangler_16,GB_23,GB_16
0,0.0,0.0,0.0,0.0,0.0,100.0
1,0.0,0.0,11.5,0.0,0.0,100.0
2,0.0,0.0,9.936575052854122,0.0,0.0,100.0
3,0.0,0.0,9.504950495049505,0.0,0.0,100.0
4,0.0,0.0,9.486166007905137,0.0,0.0,100.0
5,0.0,0.0,9.467455621301776,0.0,0.0,100.0
6,0.0,0.0,9.448818897637794,0.0,0.0,100.0
7,0.0,0.0,9.393346379647749,0.0,0.0,100.0
8,0.0,0.0,9.284332688588009,0.0,0.0,100.0
9,0.0,0.0,9.16030534351145,0.0,0.0,100.0
10,0.0,0.0,9.022556390977442,0.0,0.0,100.0
11,0.0,0.0,7.804878048780488,0.0,0.0,100.0
12,0.0,0.0,7.250755287009064,0.0,0.0,100.0
13,0.0,0.0,6.789250353606789,0.0,0.0,100.0
14,0.0,0.0,6.451612903225806,0.0,0.0,100.0
15,0.0,0.0,6.169665809768637,0.0,0.0,100.0
16,0.0,0.0,6.022584692597239,0.0,0.0,100.0
17,0.0,0.0,5.790108564535585,0.0,0.0,100.0
18,0.0,0.0,5.6537102473498235,0.0,0.0,100.0
19,0.0,0.0,5.614035087719298,0.0,0.0,100.0
20,0.0,0.0,5.607476635514018,0.0,0.0,100.0
