,Correlation,Causal,Wrangler_23,Wrangler_16,GB_23,GB_16
0,0.0,0.0,100.0,100.0,0.0,100.0
1,0.0,0.0,50.0,100.0,0.0,100.0
2,0.0,0.0,1.0362694300518136,96.37305699481865,0.0,100.0
3,0.0,14.977973568281937,8.370044052863436,96.47577092511013,0.0,100.0
4,0.0,19.583333333333332,12.083333333333334,96.66666666666667,0.0,100.0
5,0.0,37.13355048859935,22.80130293159609,96.41693811074919,0.0,100.0
6,0.0,39.11671924290221,24.605678233438486,96.52996845425868,0.0,100.0
7,0.0,39.308176100628934,24.528301886792452,96.54088050314465,0.0,100.0
8,0.0,40.06211180124223,25.465838509316768,96.58385093167702,0.0,100.0
9,0.0,41.15853658536585,26.82926829268293,96.64634146341463,0.0,100.0
10,0.0,41.33738601823708,27.0516717325228,96.65653495440729,0.0,100.0
11,0.0,41.69184290030212,27.492447129909365,96.67673716012085,0.0,100.0
12,0.0,42.04204204204204,27.927927927927925,96.69669669669669,0.0,100.0
