,Correlation,Causal,Wrangler_23,Wrangler_16,GB_23,GB_16
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,96.55172413793103
2,0.0,0.0,0.0,0.0,0.0,96.55172413793103
3,0.0,0.0,0.0,0.0,0.0,96.55172413793103
4,0.0,0.0,0.0,0.0,0.0,96.55172413793103
5,0.0,0.0,0.0,0.0,0.0,96.55172413793103
6,0.0,0.0,0.0,0.0,0.0,96.55172413793103
7,0.0,0.0,0.0,0.0,0.0,96.55172413793103
8,0.0,0.0,0.0,0.0,0.0,96.55172413793103
9,0.0,0.0,0.0,0.0,0.0,96.55172413793103
10,0.0,0.0,0.0,0.0,0.0,96.55172413793103
11,0.0,0.0,0.0,0.0,0.0,96.55172413793103
12,0.0,0.0,0.0,0.0,0.0,96.55172413793103
13,0.0,0.0,0.0,0.0,0.0,96.55172413793103
14,0.0,0.0,0.0,0.0,0.0,96.55172413793103
15,0.0,0.0,0.0,0.0,0.0,96.55172413793103
16,0.0,0.0,0.0,0.0,0.0,96.55172413793103
17,0.0,0.0,0.0,0.0,0.0,96.55172413793103
18,0.0,0.0,0.0,0.0,0.0,96.55172413793103
19,0.0,0.0,0.0,0.0,0.0,96.55172413793103
20,0.0,0.0,0.0,0.0,0.0,96.55172413793103
21,0.0,0.0,0.0,0.0,0.0,96.55172413793103
22,0.0,0.0,0.0,0.0,0.0,96.55172413793103
23,0.0,0.0,0.0,0.0,0.0,96.55172413793103
24,0.0,0.0,0.0,0.0,0.0,96.55172413793103
25,0.0,0.0,0.0,0.0,0.0,96.55172413793103
26,0.0,0.0,0.0,0.0,0.0,96.55172413793103
27,0.0,0.0,0.0,0.0,0.0,96.55172413793103
28,0.0,0.0,0.0,0.0,0.0,96.55172413793103
29,0.0,0.0,0.0,0.0,0.0,96.55172413793103
30,0.0,0.0,0.0,0.0,0.0,96.55172413793103
31,0.0,0.0,0.0,0.0,0.0,96.55172413793103
32,0.0,0.0,0.0,0.0,0.0,96.55172413793103
33,0.0,0.0,0.0,0.0,0.0,96.55172413793103
34,0.0,0.0,0.0,0.0,0.0,96.55172413793103
35,0.0,0.0,0.0,0.0,0.0,96.55172413793103
36,0.0,0.0,0.0,0.0,0.0,96.55172413793103
37,0.0,0.0,0.0,0.0,0.0,96.55172413793103
38,0.0,0.0,0.0,0.0,0.0,96.55172413793103
39,0.0,0.0,0.0,0.0,0.0,96.55172413793103
40,0.0,0.0,0.0,0.0,0.0,96.55172413793103
41,0.0,0.0,0.0,0.0,0.0,96.55172413793103
42,0.0,0.0,0.0,0.0,0.0,96.55172413793103
43,0.0,0.0,0.0,0.0,0.0,96.55172413793103
44,0.0,0.0,0.0,0.0,0.0,96.55172413793103
45,0.0,0.0,0.0,0.0,0.0,96.55172413793103
46,0.0,0.0,0.0,0.0,0.0,96.55172413793103
47,0.0,0.0,0.0,0.0,0.0,96.55172413793103
48,0.0,0.0,0.0,0.0,0.0,96.55172413793103
49,0.0,0.0,0.0,0.0,0.0,96.55172413793103
50,0.0,0.0,0.0,0.0,0.0,96.55172413793103
51,0.0,0.0,0.0,0.0,0.0,96.55172413793103
52,0.0,0.0,0.0,0.0,0.0,96.55172413793103
53,0.0,0.0,0.0,0.0,0.0,96.55172413793103
54,0.0,0.0,0.0,0.0,0.0,96.55172413793103
55,0.0,0.0,0.0,0.0,0.0,96.55172413793103
56,0.0,0.0,0.0,0.0,0.0,96.55172413793103
57,0.0,0.0,0.0,0.0,0.0,96.55172413793103
58,0.0,0.0,0.0,0.0,0.0,96.55172413793103
59,0.0,0.0,0.0,0.0,0.0,96.55172413793103
60,0.0,0.0,0.0,0.0,0.0,96.55172413793103
61,100.0,100.0,100.0,100.0,100.0,100.0
