,Correlation,Causal,Wrangler_23,Wrangler_16,GB_23,GB_16
0,0.0,0.0,100.0,100.0,40.0,100.0
1,0.0,0.0,97.95918367346938,97.95918367346938,38.775510204081634,97.95918367346938
2,0.0,16.455696202531644,88.60759493670885,88.60759493670885,37.9746835443038,88.60759493670885
3,0.0,12.5,80.76923076923077,80.76923076923077,36.53846153846153,80.76923076923077
4,0.0,17.829457364341085,75.96899224806202,75.96899224806202,35.65891472868217,75.96899224806202
5,6.521739130434782,23.18840579710145,73.18840579710145,73.18840579710145,34.05797101449276,73.18840579710145
6,6.164383561643835,21.91780821917808,69.17808219178082,69.17808219178082,32.19178082191781,69.17808219178082
7,6.122448979591836,21.768707482993197,68.70748299319727,68.70748299319727,31.97278911564626,68.70748299319727
8,6.081081081081082,21.62162162162162,68.24324324324324,68.24324324324324,31.756756756756754,68.24324324324324
9,6.0402684563758395,21.476510067114095,67.78523489932886,67.78523489932886,31.543624161073826,67.78523489932886
