,TPR,FPR
ridge,92.5925925925926,0.0
svm,0.0,0.0
nn,100.0,0.0
rf,100.0,4.166666666666667
gb,0.0,0.0
ridge_ipw,100.0,0.0
svm_ipw,100.0,4.166666666666667
nn_ipw,100.0,27.604166666666668
rf_ipw,100.0,4.166666666666667
gb_ipw,100.0,4.166666666666667
