,TPR,FPR
ridge,0.0,0.0
svm,0.0,0.0
nn,0.0,0.0
rf,0.0,0.0
gb,0.0,0.0
ridge_ipw,0.0,0.0
svm_ipw,88.88888888888889,27.913669064748202
nn_ipw,0.0,0.0
rf_ipw,0.0,0.0
gb_ipw,100.0,3.884892086330935
